50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.773267,,,,,,,,,,,bc5841f3-c94d-4e09-ac46-e7fd149ffb0c,58,,"[25.3, 3.2]",3754066,1,,,,,0.19739556,,Left Foot,,,"[41.8, 6.5]",,Ground Pass,16.826765,,,,,Raheem Sterling,,,,,,1,From Throw In,Gnégnéri Yaya Touré,3087.0,Right Defensive Midfield,5,Manchester City,36,['b61053dd-3719-4fd4-9e85-e926b7ca8665'],34,,,,,,,,,,,,,,,Manchester City,36,00:01:34.991,Pass,
,,,,,,,,,,,,,,,,,0.980574,,,,,,,,,,,03210ae7-4e5e-48b7-a8d3-98d626b02d50,60,,"[41.8, 6.5]",3754066,1,,,,,2.150962,,Left Foot,,,"[32.1, 21.3]",,Ground Pass,17.69548,,,,,Fernando Luiz Rosa,,,,,,1,From Throw In,Raheem Sterling,3233.0,Left Wing,5,Manchester City,36,['b1030430-353d-4eb0-9810-796ef18bff13'],35,,,,,,,,,,,,,,,Manchester City,36,00:01:35.764,Pass,
,,,,,,,,,,,,,,,,,2.899048,,,,,,,,,,,f119721d-aa68-491f-be22-d58cac54c495,63,,"[37.8, 29.4]",3754066,1,,,,,1.2511749,,Left Foot,,,"[51.8, 71.7]",,Ground Pass,44.556595,,,,,Jesús Navas González,,True,,,,1,From Throw In,Fernando Luiz Rosa,3054.0,Left Defensive Midfield,5,Manchester City,36,['156a0868-d487-497a-bcce-8325aed6814b'],38,,,,,,,,,,,,,,,Manchester City,36,00:01:38.733,Pass,
,,,,,,,,,,,,,,,,,2.116905,,,,,,,,,,,e078869b-ef43-4f1f-8592-c47e58143ea8,66,,"[74.0, 67.6]",3754066,1,,,,,0.77877575,,Right Foot,,,"[81.6, 75.1]",,Ground Pass,10.6775465,,,,,Bacary Sagna,,,,,,1,From Throw In,Jesús Navas González,6821.0,Right Wing,5,Manchester City,36,['c43275bc-b608-4717-a7ce-6d533c5cdf62'],44,,,,,,,,,,,,,,,Manchester City,36,00:01:44.248,Pass,
,,,,,,,,,,,,,,,,,1.164664,,,,,,,,,,,dd8fe747-6366-4483-82e5-c1dd0cf7c38d,69,,"[82.0, 75.7]",3754066,1,,,,,-2.416823,,Right Foot,,,"[65.4, 61.0]",,Ground Pass,22.173182,,,,,Fernando Luiz Rosa,,,,,,1,From Throw In,Bacary Sagna,7110.0,Right Back,5,Manchester City,36,['aff07497-cd7d-44ec-94e7-3ba066754c3d'],46,,,,,,,,,,,,,,,Manchester City,36,00:01:46.977,Pass,
,,,,,,,,,,,,,,,,,2.323984,,,,,,,,,,,75aef60e-fc09-4389-bb06-b4dae927f679,72,,"[57.3, 63.6]",3754066,1,,,,,-2.041144,,Right Foot,,,"[45.2, 39.8]",,Ground Pass,26.699251,,,,,Eliaquim Mangala,,,,,,1,From Throw In,Fernando Luiz Rosa,3054.0,Left Defensive Midfield,5,Manchester City,36,['b05b885e-5175-4893-b60e-53489f64c9c4'],50,,,,,,,,,,,,,,,Manchester City,36,00:01:50.383,Pass,
,,,,,,,,,,,,,,,,,1.167205,,,,,,,,,,,6e6da71e-2e1e-4d5b-bbed-19da8b82296d,75,,"[50.1, 27.6]",3754066,1,,,,,-1.380504,,Right Foot,,,"[54.8, 3.2]",,Ground Pass,24.848541,,,,,Aleksandar Kolarov,,,,,,1,From Throw In,Eliaquim Mangala,3389.0,Left Center Back,5,Manchester City,36,['73007c4f-104f-419e-b3dd-0f6d1782e051'],54,,,,,,,,,,,,,,,Manchester City,36,00:01:54.583,Pass,
,,,,,,,,,,,,,,,,,0.166119,,,,,,,,,,,cc267271-b3de-4e11-b508-0feb1bdf205a,78,,"[54.4, 2.8]",3754066,1,,,,,-0.2013171,,Left Foot,,,"[59.3, 1.8]",,Low Pass,5.001,,,Incomplete,,Raheem Sterling,,,,,,1,From Throw In,Aleksandar Kolarov,5596.0,Left Back,5,Manchester City,36,"['2e186b72-3923-4e7a-800f-4d19cdda4303', 'c3cc7699-7c0c-4381-8bc2-6e4b900b45e6']",57,,,,,,,,,,,,,,,Manchester City,36,00:01:57.624,Pass,
,,,,,,,,,,,,,,,,,1.379812,,,,,,,,,,,bf355def-9651-4d1a-a0b3-46fdd3818c8b,83,,"[58.9, 3.4]",3754066,1,,,,,1.0390723,,Left Foot,,,"[61.9, 8.5]",,High Pass,5.916925,,,,,David Josué Jiménez Silva,,,,,,1,From Throw In,Aleksandar Kolarov,5596.0,Left Back,5,Manchester City,36,['1ec9895b-d355-4dae-9a0e-c7837de5f0a5'],58,,,,,,,,,,,,,,,Manchester City,36,00:01:58.779,Pass,
,,,,,,,,,,,,,,,,,3.302939,,,,,,,,,,,adabfd02-d0ed-4298-b162-dd90324b26b6,86,,"[61.9, 8.5]",3754066,2,,,,,-0.25796494,,Left Foot,,,"[92.6, 0.4]",,Low Pass,31.750591,,,,,Raheem Sterling,,,,,,1,From Throw In,David Josué Jiménez Silva,3064.0,Center Attacking Midfield,5,Manchester City,36,['6d02e65c-bf36-4827-a11c-7db55d936fc8'],0,,,,,,,,,,,,,,,Manchester City,36,00:02:00.199,Pass,
