50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,2.424383,,,,,,,,,,,,f82d093d-75d0-4127-98d3-44515f0cfad3,48,,"[77.2, 71.0]",3754112,1,,,,-1.1925311,,Left Foot,,,"[92.5, 32.5]",,High Pass,,41.428734,,,Incomplete,,Jay Rodriguez,,,,,,1,From Throw In,Cédric Ricardo Alves Soares,3329.0,Right Back,5,Southampton,25,"['4b85985a-7ecd-41ba-9518-d80c0cfb7644', '9a7a0597-2f0e-4a29-b276-c8071244a7b7', 'b70ddfcf-2e4d-4725-9f0d-48be6ea441f5']",7,,,,,,,,,,,,,,,Southampton,25,00:01:07.969,Pass,True
,,,,,,,,,,,,,,,,0.477107,,,,,,,,,,,,b70ddfcf-2e4d-4725-9f0d-48be6ea441f5,50,,"[27.6, 47.6]",3754112,1,,,,-0.02438541,,Head,,,"[35.8, 47.4]",,Low Pass,,8.202438,,,,,Georginio Wijnaldum,,,,,Recovery,1,From Throw In,Daryl Janmaat,3650.0,Right Back,5,Southampton,25,"['ed67972c-7fa5-4a34-b92c-ac6aef1e32b9', 'f82d093d-75d0-4127-98d3-44515f0cfad3']",10,,,,,,,,,,,,,,,Newcastle United,37,00:01:10.393,Pass,
,,,,,,,,,,,,,,,,1.897475,,,,,,,,,,,,af5b7e90-fdc0-43ca-a84c-60d5a1c6a43d,54,,"[23.9, 49.0]",3754112,1,,,,-0.4535977,,Right Foot,,,"[47.9, 37.3]",,High Pass,,26.7,,,Incomplete,,,,,,,Recovery,1,From Throw In,Chancel Mbemba Mangulu,3044.0,Right Center Back,5,Southampton,25,"['79172d9c-ea02-4e34-aa86-af717c328da2', 'a23f9b35-4130-4cf9-96c9-8e3ad4fb82d8']",12,,,,,,,,,,,,,,,Newcastle United,37,00:01:12.074,Pass,True
,,,,,,,,,,,,,,,,1.447089,,,,,,,,,,,,0e9c20dd-1cbf-4b9b-b332-41f0c43dd9ff,57,,"[62.3, 36.3]",3754112,1,,,,2.0232084,,Right Foot,,,"[53.6, 54.2]",,Ground Pass,,19.902262,,,,,José Miguel da Rocha Fonte,,,,,,1,From Throw In,Victor Wanyama,3098.0,Left Center Midfield,5,Southampton,25,['3f80a5b8-e41e-4a11-b642-51c677981200'],15,,,,,,,,,,,,,,,Southampton,25,00:01:15.451,Pass,
,,,,,,,,,,,,,,,,1.185734,,,,,,,,,,,,4aeea929-f416-4618-941b-3723b66ec903,60,,"[53.6, 54.2]",3754112,1,,,,-1.2490457,,Right Foot,,,"[56.5, 45.5]",,Ground Pass,,9.170606,,,,,Victor Wanyama,,,,,,1,From Throw In,José Miguel da Rocha Fonte,3960.0,Right Center Back,5,Southampton,25,['f1cd36a0-36a0-4f01-8b1b-9235fbe53247'],16,,,,,,,,,,,,,,,Southampton,25,00:01:16.938,Pass,
,,,,,,,,,,,,,,,,3.648003,,,,,,,,,,,,2ce3e47b-cf13-4c57-8e2c-fc94aedb96f1,63,,"[62.3, 53.9]",3754112,1,,,,0.31183955,,Right Foot,,,"[120.0, 72.5]",,High Pass,,60.62384,,,Out,,Dušan Tadić,,,,,,1,From Throw In,Victor Wanyama,3098.0,Left Center Midfield,5,Southampton,25,['362dc342-f079-4ed2-9e17-c9a19e376069'],20,,,,,,,,,,,,,,,Southampton,25,00:01:20.067,Pass,
,,,,,,,,,,,,,,,,1.449292,,,,,,,,,,,,acb2677d-ac2d-4c0e-be60-1d56bfb86955,65,,"[7.0, 36.1]",3754112,1,True,,,-0.46443316,,Right Foot,,,"[57.9, 10.6]",,High Pass,,56.93031,,,,,Massadio Haïdara,,,,,Goal Kick,1,From Goal Kick,Timothy Michael Krul,9467.0,Goalkeeper,6,Newcastle United,37,['9a700e00-9e9d-494d-938a-a98dfba4387f'],39,,,,,,,,,,,,,,,Newcastle United,37,00:01:39.638,Pass,
,,,,,,,,,,,,,,,,1.129349,,,,,,,,,,,,a4c94ec4-fcdc-44de-887f-9a92b39bc783,67,,"[82.8, 14.1]",3754112,1,,,,-0.084901795,,Left Foot,,,"[96.9, 12.9]",,Ground Pass,,14.150971,,,Unknown,,,,,,,,1,From Goal Kick,Massadio Haïdara,4840.0,Left Back,6,Newcastle United,37,,44,,,,,,,,,,,,,,,Newcastle United,37,00:01:44.497,Pass,
,,,,,,,,,,,,,,,,1.390182,,,,,,,,,,,,e6db89cf-3ff2-42a1-8b21-c0d5fe9e0578,71,,"[97.2, 10.9]",3754112,2,,,,1.0507822,,Right Foot,True,,"[111.4, 35.7]",,High Pass,,28.577614,,,Incomplete,,,,,,,Free Kick,1,From Free Kick,Georginio Wijnaldum,3567.0,Center Attacking Midfield,7,Newcastle United,37,['e2061696-22eb-4906-81e1-452315265470'],25,,,,,,,,,,,,,,,Newcastle United,37,00:02:25.230,Pass,
,,,,,,,,,,,,,,,,3.13126,,,,,,,,,,,,48469c16-c6b1-4bf2-a3f8-a3262211942b,76,,"[2.2, 42.2]",3754112,2,,,,0.098273955,,Drop Kick,,,"[80.3, 49.9]",,High Pass,,78.47866,,,,,Graziano Pellè,,,,,,1,From Counter,Maarten Stekelenburg,20201.0,Goalkeeper,8,Southampton,25,['70eb20a2-9fc3-42e0-b4bd-8074d56b608a'],47,,,,,,,,,,,,,,,Southampton,25,00:02:47.891,Pass,
